event_id,event_time,journey_id,journey_step,action,user_id,user_tier,device_platform,app_version,network_type,city,search_lat,search_lon,search_radius_km,filter_connector,filter_fast_only,results_returned,nearest_site_id,nearest_distance_km,selected_site_id,site_category,available_bays,total_bays,price_per_kwh,estimated_wait_min,vehicle_soc_pct,range_left_km,reservation_id,reservation_window_min,converted_to_charge,response_time_ms,day_part,is_weekend,is_anomaly
APP_0025735,2026-08-03 00:15:13,JNY_202210145,1,SEARCH,USR_94022,SUBSCRIBER,ANDROID,4.2.0,5G,Bengaluru,12.9994,77.5446,10.0,CCS2,FALSE,1,STN_BLR_01,3.6,NONE,NONE,4,4,14.0,0,29.0,82.8,NONE,0,FALSE,328,NIGHT,FALSE,FALSE
APP_0025736,2026-08-03 00:16:20,JNY_202210145,2,VIEW_STATION,USR_94022,SUBSCRIBER,ANDROID,4.2.0,5G,Bengaluru,12.9344,77.5996,10.0,CCS2,FALSE,1,STN_BLR_01,3.6,STN_BLR_01,OFFICE,4,4,14.0,0,29.0,82.8,NONE,0,FALSE,81,NIGHT,FALSE,FALSE
APP_0014011,2026-08-03 00:45:21,JNY_545660456,1,SEARCH,USR_61954,FREE,ANDROID,4.2.1,4G,Mumbai,19.1061,72.8551,10.0,TYPE2_AC,TRUE,2,STN_MUM_02,4.3,NONE,NONE,4,4,12.0,0,26.0,85.7,NONE,0,FALSE,182,NIGHT,FALSE,FALSE
APP_0013049,2026-08-03 00:55:20,JNY_331948833,1,SEARCH,USR_19829,FREE,ANDROID,4.2.1,5G,Jaipur,26.8728,75.8079,5.0,CCS2,FALSE,2,STN_JPR_01,0.9,NONE,NONE,4,5,18.5,0,30.1,106.9,NONE,0,FALSE,264,NIGHT,FALSE,FALSE
APP_0013050,2026-08-03 00:56:01,JNY_331948833,2,VIEW_STATION,USR_19829,FREE,ANDROID,4.2.1,5G,Jaipur,26.9137,75.778,5.0,CCS2,FALSE,2,STN_JPR_01,0.9,STN_JPR_01,MALL,5,5,18.5,1,30.1,106.9,NONE,0,FALSE,495,NIGHT,FALSE,FALSE
APP_0013051,2026-08-03 00:57:08,JNY_331948833,3,NAVIGATE,USR_19829,FREE,ANDROID,4.2.1,5G,Jaipur,26.8828,75.8283,5.0,CCS2,FALSE,2,STN_JPR_01,0.9,STN_JPR_01,MALL,5,5,18.5,1,30.1,106.9,NONE,0,FALSE,363,NIGHT,FALSE,FALSE
APP_0030163,2026-08-03 00:57:48,JNY_625259758,1,SEARCH,USR_91057,SUBSCRIBER,IOS,4.1.6,4G,Delhi,28.7051,77.1117,3.0,CCS2,TRUE,3,STN_DEL_03,0.8,NONE,NONE,5,5,21.0,5,23.3,85.7,NONE,0,FALSE,386,NIGHT,FALSE,FALSE
APP_0030164,2026-08-03 00:57:57,JNY_625259758,2,VIEW_STATION,USR_91057,SUBSCRIBER,IOS,4.1.6,4G,Delhi,28.6983,77.0887,3.0,CCS2,TRUE,3,STN_DEL_03,0.8,STN_DEL_03,HIGHWAY,5,5,21.0,4,23.3,85.7,NONE,0,FALSE,290,NIGHT,FALSE,FALSE
APP_0025443,2026-08-03 01:03:36,JNY_211795461,1,SEARCH,USR_16220,FREE,ANDROID,4.2.0,5G,Bengaluru,12.9652,77.6291,10.0,ANY,TRUE,1,STN_BLR_01,7.8,NONE,NONE,4,4,14.0,0,24.9,88.5,NONE,0,FALSE,388,NIGHT,FALSE,FALSE
APP_0025444,2026-08-03 01:04:40,JNY_211795461,2,VIEW_STATION,USR_16220,FREE,ANDROID,4.2.0,5G,Bengaluru,12.9856,77.5936,10.0,ANY,TRUE,1,STN_BLR_01,7.8,STN_BLR_01,OFFICE,4,4,14.0,0,24.9,88.5,NONE,0,FALSE,367,NIGHT,FALSE,FALSE
APP_0013052,2026-08-03 01:08:17,JNY_331948833,4,START_CHARGE,USR_19829,FREE,ANDROID,4.2.1,5G,Jaipur,26.8978,75.806,5.0,CCS2,FALSE,2,STN_JPR_01,0.9,STN_JPR_01,MALL,5,5,18.5,1,30.1,106.9,NONE,0,TRUE,429,NIGHT,FALSE,FALSE
APP_0017024,2026-08-03 01:30:01,JNY_177490538,1,SEARCH,USR_33544,FREE,IOS,4.1.6,4G,Mumbai,19.0719,72.8805,3.0,TYPE2_AC,FALSE,2,STN_MUM_02,0.7,NONE,NONE,4,4,12.0,1,39.6,164.5,NONE,0,FALSE,374,NIGHT,FALSE,FALSE
