charging_session_id,event_time,charge_start_time,charge_end_time,journey_id,user_id,selected_site_id,city,site_category,vehicle_soc_start_pct,target_soc_pct,battery_capacity_kwh,charger_connector,charger_power_kw,is_fast_charger,energy_required_kwh,energy_delivered_kwh,expected_charge_duration_min,actual_charge_duration_min,delay_ratio,availability_ratio_at_start,estimated_wait_at_start_min,operating_condition,operational_anomaly,severe_delay,day_part,is_weekend
CHG_BFA71895A5,2026-08-03 01:08:17,2026-08-03 01:08:17,2026-08-03 02:02:57,JNY_331948833,USR_19829,STN_JPR_01,Jaipur,MALL,30.1,90.0,69.5,CCS2,60.0,True,41.63,39.77,50.88,54.68,1.075,1.0,1.0,NORMAL,False,False,NIGHT,False
CHG_08D24EAB8D,2026-08-03 02:43:21,2026-08-03 02:43:21,2026-08-03 03:21:17,JNY_229841434,USR_18209,STN_BLR_01,Bengaluru,OFFICE,26.5,85.0,69.5,CHAdeMO,75.0,True,40.66,38.51,37.95,37.94,1.0,1.0,0.0,NORMAL,False,False,NIGHT,False
CHG_3C6BEFBEB1,2026-08-03 03:27:26,2026-08-03 03:27:26,2026-08-03 05:54:09,JNY_929792534,USR_93230,STN_DEL_03,Delhi,HIGHWAY,36.1,90.0,74.6,TYPE2_AC,22.0,False,40.21,38.51,134.03,146.73,1.095,0.8,0.0,NORMAL,False,False,NIGHT,False
CHG_E1F77717C9,2026-08-03 04:02:54,2026-08-03 04:02:54,2026-08-03 04:35:43,JNY_958511985,USR_34784,STN_DEL_02,Delhi,OFFICE,18.5,85.0,60.2,CCS2,90.0,True,40.03,38.19,31.14,32.82,1.054,1.0,0.0,NORMAL,False,False,NIGHT,False
CHG_46CA1464C2,2026-08-03 04:08:37,2026-08-03 04:08:37,2026-08-03 05:05:00,JNY_158173782,USR_25908,STN_MUM_02,Mumbai,RESIDENTIAL,26.1,85.0,85.4,CCS2,60.0,True,50.3,48.78,58.68,56.39,0.961,0.75,0.0,NORMAL,False,False,NIGHT,False
CHG_E0D867394E,2026-08-03 04:55:00,2026-08-03 04:55:00,2026-08-03 05:33:34,JNY_560064426,USR_18555,STN_DEL_02,Delhi,OFFICE,30.5,90.0,76.3,CCS2,90.0,True,45.4,43.73,36.99,38.58,1.043,1.0,0.0,NORMAL,False,False,NIGHT,False
CHG_523900E5B1,2026-08-03 05:14:27,2026-08-03 05:14:27,2026-08-03 05:30:44,JNY_543922807,USR_95798,STN_JPR_02,Jaipur,HIGHWAY,55.9,90.0,66.5,CCS2,120.0,True,22.68,21.55,13.86,16.29,1.176,0.4,7.0,NORMAL,False,False,NIGHT,False
CHG_8832543CF7,2026-08-03 05:20:17,2026-08-03 05:20:17,2026-08-03 05:38:57,JNY_346296957,USR_52403,STN_JPR_01,Jaipur,MALL,50.6,85.0,90.0,CCS2,120.0,True,30.96,29.99,18.06,18.68,1.034,1.0,0.0,NORMAL,False,False,NIGHT,False
CHG_851329CDAC,2026-08-03 05:25:22,2026-08-03 05:25:22,2026-08-03 06:01:10,JNY_608181087,USR_29690,STN_DEL_01,Delhi,MALL,16.3,80.0,70.7,CCS2,90.0,True,45.04,42.47,33.36,35.82,1.074,0.8,0.0,NORMAL,False,False,NIGHT,False
CHG_8FD170662A,2026-08-03 05:30:27,2026-08-03 05:30:27,2026-08-03 06:04:58,JNY_397669066,USR_32140,STN_JPR_02,Jaipur,HIGHWAY,14.7,80.0,88.6,CCS2,120.0,True,57.86,55.27,32.14,34.53,1.074,0.8,2.0,NORMAL,False,False,NIGHT,False
