event_time,selected_site_id,city,site_category,day_part,is_weekend,total_bays,operational_bays,occupied_bays,available_bays,active_chargers,queue_length,utilization_pct,estimated_wait_min,average_session_duration_min,price_per_kwh,is_fast_charger_site,incident_flag,incident_type
2026-08-03 00:15:00,STN_BLR_01,Bengaluru,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,0.56,40.57,13.9,False,False,NONE
2026-08-03 00:15:00,STN_DEL_01,Delhi,MALL,NIGHT,False,5,5,2,3,3,0,40.0,0.0,31.9,19.39,True,False,NONE
2026-08-03 00:15:00,STN_DEL_02,Delhi,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,0.64,37.2,14.04,False,False,NONE
2026-08-03 00:15:00,STN_DEL_03,Delhi,HIGHWAY,NIGHT,False,5,5,3,2,2,0,60.0,0.0,40.98,20.86,True,False,NONE
2026-08-03 00:15:00,STN_GGN_01,Gurugram,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,0.0,36.08,14.07,False,False,NONE
2026-08-03 00:15:00,STN_GGN_02,Gurugram,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.14,32.45,19.53,True,False,NONE
2026-08-03 00:15:00,STN_JPR_01,Jaipur,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.35,32.13,18.59,True,False,NONE
2026-08-03 00:15:00,STN_JPR_02,Jaipur,HIGHWAY,NIGHT,False,5,5,3,2,2,0,60.0,0.0,40.39,21.25,True,False,NONE
2026-08-03 00:15:00,STN_MUM_01,Mumbai,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.2,31.36,20.09,True,False,NONE
2026-08-03 00:15:00,STN_MUM_02,Mumbai,RESIDENTIAL,NIGHT,False,4,4,1,3,3,0,25.0,1.03,29.17,11.98,False,False,NONE
2026-08-03 00:20:00,STN_BLR_01,Bengaluru,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,0.17,39.13,14.08,False,False,NONE
2026-08-03 00:20:00,STN_DEL_01,Delhi,MALL,NIGHT,False,5,5,2,3,3,0,40.0,0.55,31.41,19.4,True,False,NONE
2026-08-03 00:20:00,STN_DEL_02,Delhi,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,0.0,39.11,14.0,False,False,NONE
2026-08-03 00:20:00,STN_DEL_03,Delhi,HIGHWAY,NIGHT,False,5,5,3,2,2,0,60.0,0.0,41.75,20.99,True,False,NONE
2026-08-03 00:20:00,STN_GGN_01,Gurugram,OFFICE,NIGHT,False,4,4,1,3,3,0,25.0,0.48,35.73,13.9,False,False,NONE
2026-08-03 00:20:00,STN_GGN_02,Gurugram,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.0,33.42,19.47,True,False,NONE
2026-08-03 00:20:00,STN_JPR_01,Jaipur,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.52,28.68,18.54,True,False,NONE
2026-08-03 00:20:00,STN_JPR_02,Jaipur,HIGHWAY,NIGHT,False,5,5,3,2,2,0,60.0,0.28,40.67,21.0,True,False,NONE
2026-08-03 00:20:00,STN_MUM_01,Mumbai,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.26,32.34,20.22,True,False,NONE
2026-08-03 00:20:00,STN_MUM_02,Mumbai,RESIDENTIAL,NIGHT,False,4,4,1,3,3,0,25.0,0.0,27.86,11.91,False,False,NONE
2026-08-03 00:25:00,STN_BLR_01,Bengaluru,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,0.0,37.49,13.89,False,False,NONE
2026-08-03 00:25:00,STN_DEL_01,Delhi,MALL,NIGHT,False,5,5,2,3,3,0,40.0,0.5,37.59,19.35,True,False,NONE
2026-08-03 00:25:00,STN_DEL_02,Delhi,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,0.0,37.05,13.98,False,False,NONE
2026-08-03 00:25:00,STN_DEL_03,Delhi,HIGHWAY,NIGHT,False,5,5,3,2,2,0,60.0,0.0,39.39,20.92,True,False,NONE
2026-08-03 00:25:00,STN_GGN_01,Gurugram,OFFICE,NIGHT,False,4,4,1,3,3,0,25.0,1.18,38.3,13.94,False,False,NONE
2026-08-03 00:25:00,STN_GGN_02,Gurugram,MALL,NIGHT,False,5,5,2,3,3,0,40.0,0.0,36.09,19.63,True,False,NONE
2026-08-03 00:25:00,STN_JPR_01,Jaipur,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.0,31.7,18.4,True,False,NONE
2026-08-03 00:25:00,STN_JPR_02,Jaipur,HIGHWAY,NIGHT,False,5,5,3,2,2,0,60.0,0.21,38.78,21.27,True,False,NONE
2026-08-03 00:25:00,STN_MUM_01,Mumbai,MALL,NIGHT,False,5,5,3,2,2,0,60.0,0.26,34.51,19.93,True,False,NONE
2026-08-03 00:25:00,STN_MUM_02,Mumbai,RESIDENTIAL,NIGHT,False,4,4,1,3,3,0,25.0,0.0,30.33,11.87,False,False,NONE
2026-08-03 00:30:00,STN_BLR_01,Bengaluru,OFFICE,NIGHT,False,4,4,2,2,2,0,50.0,1.75,37.13,13.88,False,False,NONE
2026-08-03 00:30:00,STN_DEL_01,Delhi,MALL,NIGHT,False,5,5,2,3,3,1,40.0,6.74,31.69,19.72,True,False,NONE
